source_id,kind,host,url
s0001,public-record,aisel.aisnet.org,http://aisel.aisnet.org/cgi/viewcontent.cgi?article=1701&context=amcis2009
s0002,public-record,computing.southern.edu,http://computing.southern.edu/jbeckett/dissertation/Beckett-Dissertation.pdf
s0003,public-record,dl.acm.org,http://dl.acm.org/citation.cfm?id=2521189
s0004,public-record,hdl.handle.net,http://hdl.handle.net/2060/20130003171
s0005,public-record,rave.ohiolink.edu,http://rave.ohiolink.edu/etdc/view?acc_num=osu1309974326
s0006,public-record,rave.ohiolink.edu,http://rave.ohiolink.edu/etdc/view?acc_num=osu1316383870
s0007,public-record,rpitt.eng.ua.edu,http://rpitt.eng.ua.edu/Publications/5_Stormwater_Treatment/Public_works_practices/scour%20and%20CFD%20modeling%20AVILA_PITT_Calibration_CFD_EDINBURH_2008.pdf
s0008,public-record,www.cell.com,http://www.cell.com/article/S0006349508010126/pdf
s0009,public-record,www.tandfonline.com,http://www.tandfonline.com/doi/abs/10.1080/01419870.2012.660173
s0010,public-record,www.worldscientific.com,http://www.worldscientific.com/doi/abs/10.1142/9781848162648_0018
s0011,public-record,aaai.org,https://aaai.org/proceeding/01-aaai-2010/
s0012,public-record,acsess.onlinelibrary.wiley.com,https://acsess.onlinelibrary.wiley.com/doi/10.2136/vzj2007.0103
s0013,public-record,agu.confex.com,https://agu.confex.com/agu/fm14/webprogram/Paper3494.html
s0014,public-record,agu.confex.com,https://agu.confex.com/agu/fm15/webprogram/Paper74569.html
s0015,public-record,aisel.aisnet.org,https://aisel.aisnet.org/amcis2009/701/
s0016,public-record,ale.ua.es,https://ale.ua.es/article/view/2011-n23-sab-y-el-juego-de-las-miradas
s0017,crossref,api.crossref.org,https://api.crossref.org/works/10.1002/2014ja020382
s0018,crossref,api.crossref.org,https://api.crossref.org/works/10.1002/adfm.201203435
s0019,crossref,api.crossref.org,https://api.crossref.org/works/10.1002/ajim.20561
s0020,crossref,api.crossref.org,https://api.crossref.org/works/10.1002/aur.1489
s0021,crossref,api.crossref.org,https://api.crossref.org/works/10.1002/chem.201502842
s0022,crossref,api.crossref.org,https://api.crossref.org/works/10.1002/chin.201001035
s0023,crossref,api.crossref.org,https://api.crossref.org/works/10.1002/etc.3026
s0024,crossref,api.crossref.org,https://api.crossref.org/works/10.1002/hyp.10299
s0025,crossref,api.crossref.org,https://api.crossref.org/works/10.1002/jmri.21744
s0026,crossref,api.crossref.org,https://api.crossref.org/works/10.1002/mbo3.277
s0027,crossref,api.crossref.org,https://api.crossref.org/works/10.1002/pri.501
s0028,crossref,api.crossref.org,https://api.crossref.org/works/10.1002/wsbm.91
s0029,crossref,api.crossref.org,https://api.crossref.org/works/10.1007/0-387-28387-0_2
s0030,crossref,api.crossref.org,https://api.crossref.org/works/10.1007/11553090_6
s0031,crossref,api.crossref.org,https://api.crossref.org/works/10.1007/978-1-4471-4312-3_26
s0032,crossref,api.crossref.org,https://api.crossref.org/works/10.1007/978-1-4614-5283-6_71
s0033,crossref,api.crossref.org,https://api.crossref.org/works/10.1007/978-1-84996-390-9_58
s0034,crossref,api.crossref.org,https://api.crossref.org/works/10.1007/978-3-319-04768-3_8
s0035,crossref,api.crossref.org,https://api.crossref.org/works/10.1007/978-3-319-06989-0_11
s0036,crossref,api.crossref.org,https://api.crossref.org/works/10.1007/978-3-319-12700-2_5
s0037,crossref,api.crossref.org,https://api.crossref.org/works/10.1007/978-3-319-16033-7_8
s0038,crossref,api.crossref.org,https://api.crossref.org/works/10.1007/978-3-540-74812-0_13
s0039,crossref,api.crossref.org,https://api.crossref.org/works/10.1007/978-90-481-3255-3_8
s0040,crossref,api.crossref.org,https://api.crossref.org/works/10.1007/978-94-007-2357-3_6
s0041,crossref,api.crossref.org,https://api.crossref.org/works/10.1007/978-94-007-5687-8_1
s0042,crossref,api.crossref.org,https://api.crossref.org/works/10.1007/s00049-013-0142-1
s0043,crossref,api.crossref.org,https://api.crossref.org/works/10.1007/s00209-005-0802-0
s0044,crossref,api.crossref.org,https://api.crossref.org/works/10.1007/s00221-012-3378-z
s0045,crossref,api.crossref.org,https://api.crossref.org/works/10.1007/s00360-007-0187-y
s0046,crossref,api.crossref.org,https://api.crossref.org/works/10.1007/s10142-006-0025-4
s0047,crossref,api.crossref.org,https://api.crossref.org/works/10.1007/s10482-011-9582-1
s0048,crossref,api.crossref.org,https://api.crossref.org/works/10.1007/s10584-011-0098-5
s0049,crossref,api.crossref.org,https://api.crossref.org/works/10.1007/s10592-007-9415-y
s0050,crossref,api.crossref.org,https://api.crossref.org/works/10.1007/s10701-013-9724-6
s0051,crossref,api.crossref.org,https://api.crossref.org/works/10.1007/s10869-015-9425-6
s0052,crossref,api.crossref.org,https://api.crossref.org/works/10.1007/s11075-011-9498-x
s0053,crossref,api.crossref.org,https://api.crossref.org/works/10.1007/s11075-012-9612-8
s0054,crossref,api.crossref.org,https://api.crossref.org/works/10.1007/s11156-006-8796-1
s0055,crossref,api.crossref.org,https://api.crossref.org/works/10.1007/s11187-007-9050-5
s0056,crossref,api.crossref.org,https://api.crossref.org/works/10.1007/s11227-014-1299-2
s0057,crossref,api.crossref.org,https://api.crossref.org/works/10.1007/s11669-009-9469-2
s0058,crossref,api.crossref.org,https://api.crossref.org/works/10.1007/s11837-014-1201-y
s0059,crossref,api.crossref.org,https://api.crossref.org/works/10.1007/s12010-007-8031-0
s0060,crossref,api.crossref.org,https://api.crossref.org/works/10.1007/s12013-008-9021-8
s0061,crossref,api.crossref.org,https://api.crossref.org/works/10.1007/s12232-010-0105-6
s0062,crossref,api.crossref.org,https://api.crossref.org/works/10.1007/s12237-014-9773-x
s0063,crossref,api.crossref.org,https://api.crossref.org/works/10.1007/s13187-015-0837-9
s0064,crossref,api.crossref.org,https://api.crossref.org/works/10.1016/b978-0-240-81475-9.50023-2
s0065,crossref,api.crossref.org,https://api.crossref.org/works/10.1016/j.aip.2008.02.007
s0066,crossref,api.crossref.org,https://api.crossref.org/works/10.1016/j.ajem.2011.07.002
s0067,crossref,api.crossref.org,https://api.crossref.org/works/10.1016/j.amjcard.2007.03.048
s0068,crossref,api.crossref.org,https://api.crossref.org/works/10.1016/j.atmosenv.2006.04.004
s0069,crossref,api.crossref.org,https://api.crossref.org/works/10.1016/j.beem.2011.08.006
s0070,crossref,api.crossref.org,https://api.crossref.org/works/10.1016/j.beth.2007.02.002
s0071,crossref,api.crossref.org,https://api.crossref.org/works/10.1016/j.biortech.2010.08.109
s0072,crossref,api.crossref.org,https://api.crossref.org/works/10.1016/j.concog.2006.12.002
s0073,crossref,api.crossref.org,https://api.crossref.org/works/10.1016/j.cor.2011.03.005
s0074,crossref,api.crossref.org,https://api.crossref.org/works/10.1016/j.cplett.2010.04.075
s0075,crossref,api.crossref.org,https://api.crossref.org/works/10.1016/j.cretres.2013.07.008
s0076,crossref,api.crossref.org,https://api.crossref.org/works/10.1016/j.drugalcdep.2014.11.002
s0077,crossref,api.crossref.org,https://api.crossref.org/works/10.1016/j.dsr.2008.11.005
s0078,crossref,api.crossref.org,https://api.crossref.org/works/10.1016/j.ejcnurse.2010.01.005
s0079,crossref,api.crossref.org,https://api.crossref.org/works/10.1016/j.ejmech.2011.02.057
s0080,crossref,api.crossref.org,https://api.crossref.org/works/10.1016/j.epsl.2006.01.015
s0081,crossref,api.crossref.org,https://api.crossref.org/works/10.1016/j.gca.2015.12.022
s0082,crossref,api.crossref.org,https://api.crossref.org/works/10.1016/j.ijar.2005.06.006
s0083,crossref,api.crossref.org,https://api.crossref.org/works/10.1016/j.ijthermalsci.2008.11.006
s0084,crossref,api.crossref.org,https://api.crossref.org/works/10.1016/j.is.2015.06.001
s0085,crossref,api.crossref.org,https://api.crossref.org/works/10.1016/j.jbankfin.2011.07.001
s0086,crossref,api.crossref.org,https://api.crossref.org/works/10.1016/j.jfa.2008.09.015
s0087,crossref,api.crossref.org,https://api.crossref.org/works/10.1016/j.jhealeco.2013.10.006
s0088,crossref,api.crossref.org,https://api.crossref.org/works/10.1016/j.jhydrol.2015.11.026
s0089,crossref,api.crossref.org,https://api.crossref.org/works/10.1016/j.joen.2007.09.016
s0090,crossref,api.crossref.org,https://api.crossref.org/works/10.1016/j.jvn.2006.10.001
s0091,crossref,api.crossref.org,https://api.crossref.org/works/10.1016/j.learninstruc.2015.12.001
s0092,crossref,api.crossref.org,https://api.crossref.org/works/10.1016/j.marpol.2014.11.019
s0093,crossref,api.crossref.org,https://api.crossref.org/works/10.1016/j.mayocp.2013.03.002
s0094,crossref,api.crossref.org,https://api.crossref.org/works/10.1016/j.metmat.2011.03.001
s0095,crossref,api.crossref.org,https://api.crossref.org/works/10.1016/j.nimb.2005.07.044
